00000000	 00000000	 00000000
00000001	 00000005	 00000001
00000002	 0000000a	 00000004
00000003	 0000000f	 00000009
00000004	 00000014	 00000010
00000005	 00000019	 00000019
00000006	 0000001e	 00000024
00000007	 00000023	 00000031
00000008	 00000028	 00000040
00000009	 0000002d	 00000051
0000000a	 00000032	 00000064
0000000b	 00000037	 00000079
0000000c	 0000003c	 00000090
0000000d	 00000041	 000000a9
0000000e	 00000046	 000000c4
0000000f	 0000004b	 000000e1
00000010	 00000050	 00000100
00000011	 00000055	 00000121
00000012	 0000005a	 00000144
00000013	 0000005f	 00000169
00000014	 00000064	 00000190
00000015	 00000069	 000001b9
00000016	 0000006e	 000001e4
00000017	 00000073	 00000211
00000018	 00000078	 00000240
00000019	 0000007d	 00000271
